LTR,Date,expNo1,expNo2,Min,Sec,EStmInt,EStmDrtn,Supra,Laser,illmDrtn,illmHz,MSillmInt,AD,RS,WDS,ADDrtn,HPCDrtn,CtxDrtn,recAD,recGS
82,190403,2,1,35,30,100,2,1,0,30,1,45,1,5,0,5.728,29.1384,23.7256,,
82,190403,2,1,88,0,100,2,1,1,30,1,45,1,5,0,3.4672,36.5504,35.1088,,
82,190403,2,1,121,0,100,2,1,0,30,8,45,1,5,0,2.76,34.5968,31.8312,,
82,190403,2,1,152,0,100,2,1,1,30,8,45,1,5,0,4.588,41.5016,35.1744,,
82,190403,2,1,185,0,100,2,1,0,30,20,45,1,5,0,4.6384,42.7552,34.044,,
82,190403,2,1,218,0,100,2,1,1,30,20,45,1,5,0,6.2776,42.1216,32.56,,
83,190403,2,1,35,30,100,2,1,1,30,1,45,1,5,0,1.876,53.2016,45.0704,,
83,190403,2,1,88,0,100,2,1,0,30,1,45,1,5,0,12.6504,50.3,38.2544,,
83,190403,2,1,121,0,100,2,1,1,30,8,45,1,5,0,10.0192,43.7584,33.0744,,
83,190403,2,1,152,0,100,2,1,0,30,8,45,1,5,0,7.3376,56.124,44.3512,,
83,190403,2,1,185,0,100,2,1,1,30,20,45,1,5,0,6.9608,54.5352,46.1336,,
83,190403,2,1,218,0,100,2,1,0,30,20,45,1,2,0,0,0,0,,
82,190404,1,1,0,40,100,2,1,0,30,20,45,1,5,0,2.4696,29.8928,31.1448,,
82,190404,1,1,33,30,100,2,1,1,30,20,45,1,5,0,4.0408,28.9232,23.3688,,
82,190404,1,1,64,30,100,2,1,0,30,8,45,1,5,0,4.912,30.6016,28.916,,
82,190404,1,1,96,0,100,2,1,1,30,8,45,1,5,0,4.4088,28.2616,26.2944,,
82,190404,1,1,128,30,100,2,1,0,30,1,45,1,5,0,6.7448,34.8992,29.852,,
82,190404,1,1,160,0,100,2,1,1,30,1,45,1,5,0,6.3344,35.4264,27.76,,
82,190404,1,1,194,0,100,2,1,0,30,1,45,1,5,0,4.8976,33.0704,26.7352,,
82,190404,1,1,223,0,100,2,1,1,30,1,45,1,5,0,6.4976,34.1632,28.8392,,
82,190404,1,1,258,0,100,2,1,0,30,8,45,1,5,0,7.5104,35.5728,32.0472,,
82,190404,1,1,291,30,100,2,1,1,30,8,45,1,5,0,8.3616,40.8192,35.5264,,
82,190404,1,1,324,30,100,2,1,0,30,20,45,1,5,0,8.2064,43.844,33.0432,,
82,190404,1,1,358,30,100,2,1,1,30,20,45,1,5,0,8.848,44.98,37.6056,,
83,190404,1,1,0,40,100,2,1,1,30,20,45,1,5,0,7.2648,32.8856,26.8328,,
83,190404,1,1,33,30,100,2,1,0,30,20,45,1,5,0,10.7584,37.2808,26.92,,
83,190404,1,1,64,30,100,2,1,1,30,8,45,1,5,0,11.0864,40.2968,29.4352,,
83,190404,1,1,96,0,100,2,1,0,30,8,45,1,5,0,9.7224,37.5128,28.3088,,
83,190404,1,1,128,30,100,2,1,1,30,1,45,1,5,0,10.6696,46.5736,33.6392,,
83,190404,1,1,160,0,100,2,1,0,30,1,45,1,5,0,10.7408,41.9336,30.6728,,
83,190404,1,1,194,0,100,2,1,1,30,1,45,1,5,0,10.6784,49.18,36.6648,,
83,190404,1,1,223,0,100,2,1,0,30,1,45,1,5,0,11.0664,46.1328,32.7032,,
83,190404,1,1,258,0,100,2,1,1,30,8,45,1,5,0,12.4528,47.6968,34.9584,,
83,190404,1,1,291,30,100,2,1,0,30,8,45,1,5,0,8.5744,57.224,41.516,,
83,190404,1,1,324,30,100,2,1,1,30,20,45,1,5,0,12.4624,69.2216,38.5992,,
83,190404,1,1,358,30,100,2,1,0,30,20,45,1,5,0,11.2624,67.5576,40.936,,
82,190405,1,1,0,40,90,2,1,0,30,20,45,1,5,0,5.7424,34.1008,28.6552,,
82,190405,1,1,33,0,90,2,1,1,30,20,45,1,5,0,6.96,82.1584,27.452,,
82,190405,1,1,65,0,90,2,1,0,30,8,45,1,5,0,6.5296,34.8984,29.0016,,
82,190405,1,1,96,10,90,2,1,1,30,8,45,1,5,0,8.1072,49.2344,30.9008,,
82,190405,1,1,128,0,90,2,1,0,30,1,45,1,5,0,9.632,41.0216,33.1464,,
82,190405,1,1,160,0,90,2,1,1,30,1,45,1,5,0,10.0704,38.1256,29.1528,,
82,190405,1,1,203,0,75,2,1,0,30,1,45,1,4,0,0.6696,74.4528,41.8616,,
82,190405,1,1,234,30,75,2,1,1,30,1,45,1,5,0,0.296,48.5128,44.9456,,
82,190405,1,1,272,30,60,2,1,0,30,8,45,1,5,0,0.4224,45.0096,43.376,,
82,190405,1,1,305,0,60,2,1,1,30,8,45,1,5,0,15.128,50.7488,37.3608,,
82,190405,1,1,337,0,60,2,1,0,30,20,45,1,5,0,18.3968,52.9992,52.2808,,
82,190405,1,1,375,0,60,2,1,1,30,20,45,1,5,0,19.4584,58.8144,43.1728,,
83,190405,1,1,0,40,90,2,1,1,30,20,45,1,5,0,8.8312,37.5504,29.0208,,
83,190405,1,1,33,0,90,2,1,0,30,20,45,1,5,0,9.4976,37.0344,28.2728,,
83,190405,1,1,65,0,90,2,1,1,30,8,45,1,5,0,7.808,38.4008,31.312,,
83,190405,1,1,96,10,90,2,1,0,30,8,45,1,5,0,10.144,60.532,33.8456,,
83,190405,1,1,128,0,90,2,1,1,30,1,45,1,5,0,9.4448,44.2856,37.3504,,
83,190405,1,1,160,0,90,2,1,0,30,1,45,1,5,0,8.6112,38.7368,30.7512,,
83,190405,1,1,203,0,75,2,1,1,30,1,45,1,5,0,10.4792,38.848,28.3304,,
83,190405,1,1,234,30,75,2,1,0,30,1,45,1,5,0,3.44,50.2496,31.612,,
83,190405,1,1,272,30,60,2,1,1,30,8,45,1,2,0,0,0,0,,
83,190405,1,1,305,0,60,2,1,0,30,8,45,1,5,0,11.868,40.12,28.5248,,
82,190406,1,1,0,30,20,2,0,0,30,1,45,0,1,0,0,0,0,,
82,190406,1,1,21,0,20,2,0,1,30,1,45,0,0,0,0,0,0,,
82,190406,1,1,41,30,30,2,0,0,30,8,45,0,0,0,0,0,0,,
82,190406,1,1,61,30,30,2,0,1,30,8,45,0,0,0,0,0,0,,
82,190406,1,1,92,0,40,2,0,0,30,20,45,1,3,1,24.1408,37.9648,6.9328,,
82,190406,1,1,122,0,40,2,0,1,30,20,45,0,1,0,0,0,0,,
82,190406,1,2,5,30,35,2,0,0,30,20,45,0,1,0,0,0,0,,
82,190406,1,2,23,0,35,2,0,1,30,20,45,0,0,0,0,0,0,,
