LTR,Date,expNo1,expNo2,Min,Sec,EStmInt,EStmDrtn,Supra,Laser,illmDrtn,illmDly,MSillmInt,AD,RS,WDS,ADDrtn,HPCDrtn,CtxDrtn,recAD,recGS
82,190130,1,1,1,20,100,2,1,0,30,0,45,1,5,0,1.214,43.942,40.51,,
82,190130,1,1,38,20,100,2,1,1,30,0,45,1,4,0,0.398,5.616,9.154,,
82,190130,1,1,73,30,90,2,1,0,30,20,45,1,5,0,5.488,41.126,35.116,,
82,190130,1,1,108,30,90,2,1,1,30,20,45,1,5,0,5.308,39.618,33.546,,
82,190130,1,1,142,30,90,2,1,0,30,40,45,1,5,0,5.962,47.598,39.312,,
82,190130,1,1,175,30,90,2,1,1,30,40,45,1,0,0,0,0,5.448,,
82,190130,1,1,209,30,95,2,1,0,30,60,45,1,5,0,1.108,46.94,118.198,,
82,190130,1,1,241,55,95,2,1,1,30,60,45,1,0,0,2.702,0,7.744,,
83,190130,1,1,1,20,100,2,1,1,30,0,45,1,5,0,14.648,50.148,36.146,,
83,190130,1,1,38,20,100,2,1,0,30,0,45,1,5,0,5.464,48.642,41.864,,
83,190130,1,1,73,30,80,2,1,1,30,20,45,1,1,0,0,0,0,,
83,190130,1,1,108,30,80,2,1,0,30,20,45,1,5,0,10.876,49.514,34.242,,
83,190130,1,1,142,30,90,2,1,1,30,40,45,1,5,0,0.992,63.166,53.624,,
83,190130,1,1,175,30,90,2,1,0,30,40,45,1,5,0,4.438,67.3,55.608,,
82,190204,1,1,1,40,100,2,1,0,30,60,45,1,1,0,1.044,25.184,5.438,,
82,190204,1,1,35,0,100,2,1,1,30,60,45,1,5,0,6.038,65.016,38.88,,
82,190204,1,1,67,15,100,2,1,0,30,40,45,1,5,0,6.074,44.728,36.526,,
82,190204,1,1,118,30,100,2,1,1,30,40,45,1,5,0,5.194,43.798,39.14,,
82,190204,1,1,152,0,90,2,1,0,30,20,45,1,5,0,0.42,65.706,46.4,,
82,190204,1,1,183,30,90,2,1,1,30,20,45,1,1,0,0.448,11.876,8.058,,
82,190204,1,1,218,0,90,2,1,0,30,0,45,1,5,0,5.194,39.688,39.138,,
82,190204,1,1,254,0,90,2,1,1,30,0,45,1,3,0,0,6.028,12.498,,
83,190204,1,1,1,40,90,2,1,1,30,60,45,1,0,0,5.096,23.436,10.124,,
83,190204,1,1,35,0,90,2,1,0,30,60,45,1,5,0,11.444,50.724,20.138,,
83,190204,1,1,67,15,90,2,1,1,30,40,45,1,5,0,12.7,48.95,23.764,,
83,190204,1,1,118,30,90,2,1,0,30,40,45,1,5,0,11.048,38.002,27.442,,
83,190204,1,1,152,0,85,2,1,1,30,20,45,1,4,0,12.684,57.778,22.52,,
83,190204,1,1,183,30,85,2,1,0,30,20,45,1,5,0,15.35,63.926,39.318,,
83,190204,1,1,218,0,80,2,1,1,30,0,45,1,5,0,11.652,56.904,49.04,,
83,190204,1,1,254,0,80,2,1,0,30,0,45,1,5,0,17.924,74.97,44.206,,
82,190205,1,1,6,0,90,2,1,0,30,0,45,1,5,0,3.978,31.786,34.37,,
82,190205,1,1,32,30,90,2,1,1,30,0,45,1,3,0,4.672,0,6.624,,
82,190205,1,1,71,35,90,2,1,0,30,20,45,1,5,0,2.666,45.204,41.494,,
82,190205,1,1,103,55,90,2,1,1,30,20,45,1,3,0,3.944,3.746,6.816,,
82,190205,1,1,134,45,90,2,1,0,30,40,45,1,5,0,4.566,50.59,45.882,,
82,190205,1,1,168,0,90,2,1,1,30,40,45,1,1,0,6.228,49.278,33.042,,
82,190205,1,1,265,0,90,2,1,0,30,60,45,1,5,0,5.418,45.506,41.392,,
82,190205,1,1,295,30,90,2,1,1,30,60,45,1,0,0,0,0,5.474,,
83,190205,1,1,6,0,80,2,1,1,30,0,45,1,5,0,11.392,37.648,38.204,,
83,190205,1,1,32,30,80,2,1,0,30,0,45,1,5,0,14.16,55.826,46.55,,
83,190205,1,1,71,35,75,2,1,1,30,20,45,1,5,0,7.668,59.77,48.096,,
83,190205,1,1,103,55,75,2,1,0,30,20,45,1,5,0,7.734,60.108,50.846,,
83,190205,1,1,134,45,70,2,1,1,30,40,45,1,5,0,10.162,61.422,51.294,,
83,190205,1,1,168,0,70,2,1,0,30,40,45,1,5,0,6.662,81.418,73.122,,
83,190205,1,1,265,0,65,2,1,1,30,60,45,1,5,0,13.378,67.456,55.1,,
83,190205,1,1,295,30,65,2,1,0,30,60,45,1,5,0,5.256,39.726,31.132,,
83,190205,1,1,327,50,65,2,1,1,30,60,45,1,5,0,10.506,68.902,38.346,,
83,190205,1,1,364,0,65,2,1,0,30,60,45,1,5,0,8.898,74.824,65.644,,
83,190205,1,1,396,30,65,2,1,1,30,40,45,1,4,0,10.178,55.09,41.868,,
83,190205,1,1,428,30,65,2,1,0,30,40,45,1,5,0,9.808,53.48,43.808,,
82,190218,1,1,0,30,90,2,1,0,30,20,45,1,5,0,5.872,50.26,38.026,,
82,190218,1,1,35,15,90,2,1,1,30,20,45,1,5,0,4.412,46.866,42.166,,
82,190218,1,1,75,0,85,2,1,0,30,0,45,1,5,0,5.82,46.484,39.618,,
82,190218,1,1,108,0,85,2,1,1,30,0,45,1,5,0,3.932,55.608,41.64,,
83,190218,1,1,0,30,90,2,1,1,30,20,45,1,5,0,12.256,88.628,72.29,,
83,190218,1,1,35,15,90,2,1,0,30,20,45,1,5,0,16.462,60.854,44.652,,
83,190218,1,1,75,0,85,2,1,1,30,0,45,1,5,0,15.374,69.224,48.762,,
83,190218,1,1,108,0,85,2,1,0,30,0,45,1,5,0,6.02,65.3,56.76,,
82,190219,1,1,1,0,75,2,1,0,30,0,45,1,5,0,3.388,31.922,32.218,,
82,190219,1,1,39,20,75,2,1,1,30,0,45,1,5,0,3.776,40.206,37.206,,
82,190219,1,1,71,0,50,2,1,0,30,20,45,1,5,0,3.78,38.566,36.73,,
82,190219,1,1,104,0,50,2,1,1,30,20,45,1,0,0,0,0,3.488,,
82,190219,1,1,136,0,60,2,1,0,30,40,45,1,5,0,4.646,41.464,37.426,,
82,190219,1,1,167,30,60,2,1,1,30,40,45,1,5,0,0,48.59,50.296,,
83,190219,1,1,1,0,75,2,1,1,30,0,45,1,5,0,12.366,52.632,39.448,,
83,190219,1,1,39,20,75,2,1,0,30,0,45,1,5,0,7.14,68.632,44.252,,
83,190219,1,1,71,0,50,2,1,1,30,20,45,1,5,0,7.46,58.488,42.956,,
83,190219,1,1,104,0,50,2,1,0,30,20,45,1,5,0,10.358,62.908,43.728,,
83,190219,1,1,203,0,35,2,1,1,30,60,45,1,5,0,2.062,86.852,67.214,,
83,190219,1,1,241,0,35,2,1,0,30,60,45,1,5,0,1.63,64.068,67.056,,
82,190220,1,1,2,50,60,2,1,0,30,60,45,1,5,0,10.686,42.318,30.998,,
82,190220,1,1,35,0,60,2,1,1,30,60,45,1,5,0,0.056,41.45,40.242,,
82,190220,1,1,68,0,50,2,1,0,30,40,45,1,5,0,7.908,70.746,38.362,,
82,190220,1,1,101,0,50,2,1,1,30,40,45,1,5,0,0,42.352,46.278,,
82,190220,1,1,155,0,45,2,1,0,30,20,45,1,5,0,8.908,52.69,58.312,,
82,190220,1,1,193,0,45,2,1,1,30,20,45,1,0,0,0,0,0,,
82,190220,1,1,225,0,45,2,1,0,30,0,45,1,5,0,0,55.714,55.464,,
82,190220,1,1,261,0,45,2,1,1,30,0,45,1,1,0,0,0,0,,
83,190220,1,1,2,50,30,2,1,1,30,60,45,1,5,0,14.278,43.518,32.404,,
83,190220,1,1,35,0,30,2,1,0,30,60,45,1,5,0,12.474,49.258,39.384,,
83,190220,1,1,68,0,20,2,1,1,30,40,45,1,5,0,15.222,57.892,43.986,,
83,190220,1,1,101,0,20,2,1,0,30,40,45,1,5,0,9.188,51.864,43.142,,
83,190220,1,1,155,0,15,2,1,1,30,20,45,1,5,0,9.044,53.858,40.544,,
83,190220,1,1,193,0,15,2,1,0,30,20,45,1,5,0,15.198,62.284,47.522,,
82,190221,1,1,64,30,55,2,1,0,30,20,45,1,4,0,11.186,55.116,38.054,,
82,190221,1,1,97,30,55,2,1,1,30,20,45,1,1,0,0,0,5.172,,
82,190221,1,1,305,10,70,2,1,0,30,60,45,1,5,0,0,91.186,43.598,,
82,190221,1,1,338,10,70,2,1,1,30,60,45,1,0,0,0,0,0,,
82,190221,1,1,389,20,90,2,1,0,30,60,45,1,5,2,1.416,67.646,19.674,,
82,190221,1,1,422,0,90,2,1,1,30,60,45,1,1,2,0,2.27,7.472,,
82,190221,1,1,535,0,80,2,1,0,30,20,45,1,3,2,0.54,34.572,40.072,,
82,190221,1,1,554,0,80,2,1,1,30,20,45,1,1,0,4.234,0.876,9.926,,
82,190221,1,1,595,0,85,2,1,0,30,0,45,1,3,2,0.674,71.8,39.306,,
82,190221,1,1,629,30,85,2,1,1,30,0,45,1,1,0,0,9.108,11.484,,
83,190221,1,1,64,30,25,2,1,1,30,20,45,1,4,0,20.958,43.06,14.168,,
83,190221,1,1,97,30,25,2,1,0,30,20,45,1,5,0,18.752,47.832,27.788,,
83,190221,1,1,389,20,50,2,1,1,30,60,45,1,5,0,26.47,27.012,1.828,,
83,190221,1,1,422,0,50,2,1,0,30,60,45,1,4,0,1.306,41.828,33.778,,
83,190221,1,1,455,20,50,2,1,1,30,40,45,1,2,2,15.296,48.732,11.19,,
83,190221,1,1,492,0,50,2,1,0,30,40,45,1,5,0,2.472,54.394,9.006,,
83,190221,1,1,535,0,50,2,1,1,30,20,45,1,0,0,0,0,0,,
83,190221,1,1,554,0,50,2,1,0,30,20,45,1,1,2,0.438,32.71,25.138,,
119,190718,1,3,2,0,70,2,1,0,30,0,40,1,4,0,9.608,22.532,12.614,,
119,190718,1,3,33,0,70,2,1,1,30,0,40,1,1,0,0,0,0,,
119,190718,1,3,63,30,70,2,1,0,30,40,40,1,4,0,6.464,41.122,11.346,,
119,190718,1,3,94,30,70,2,1,1,30,40,40,1,3,0,7.452,43.202,21.556,,
119,190718,1,3,187,0,65,2,1,0,30,60,40,1,4,0,6.116,40.752,19.266,,
119,190718,1,4,6,30,65,2,1,1,30,60,40,1,3,0,8.082,42.774,19.772,,
119,190718,1,4,38,30,65,2,1,0,30,0,40,1,5,0,8.238,45.384,23.336,,
119,190718,1,4,69,0,65,2,1,1,30,0,40,1,4,0,8.462,45.02,24.796,,
119,190718,1,4,100,0,65,2,1,0,30,20,40,1,5,0,9.784,42.43,22.126,,
119,190718,1,4,137,0,65,2,1,1,30,20,40,1,4,0,8.06,40.094,24.46,,
120,190718,1,3,2,0,325,2,1,1,30,0,40,1,1,0,0,0,0,,
120,190718,1,3,33,0,325,2,1,0,30,0,40,1,2,0,6.818,38.06,7.088,,
120,190718,1,3,63,30,325,2,1,1,30,40,40,1,4,0,8.002,47.72,35.818,,
