LTR,date,expNo,sessionNo,ratNo,trialNo,closed,offset,duration,delay,jitter,U,V,pval,z
82,190204,1,1,1,1,1,40,60,0,0,-0.173439236737884,0.65745530123995,1.34710002394505e-06,12.0205446911871
82,190204,1,1,1,2,1,40,60,0,0,0.00126946414399147,0.590303410120415,2.02463665122328e-27,55.7535564062405
82,190204,1,1,1,3,1,40,60,0,0,NaN,NaN,NaN,NaN
83,190204,1,1,2,1,1,40,60,0,0,NaN,NaN,NaN,NaN
83,190204,1,1,2,2,1,40,60,0,0,NaN,NaN,NaN,NaN
83,190204,1,1,2,3,1,40,60,0,0,0.0825686403202241,0.480989036621008,4.36509384992276e-23,48.3481108439289
83,190204,1,1,2,4,1,40,60,0,0,0.172025698916565,0.394394957425347,1.30050404103026e-25,54.6163659414308
82,190204,1,1,1,1,1,20,40,0,0,0.0176777249959039,0.413141614632105,2.07590524369219e-18,38.9876570200226
82,190204,1,1,1,2,1,20,40,0,0,-0.0743181086249816,0.447184234386019,1.57164430409219e-21,45.414819486414
82,190204,1,1,1,3,1,20,40,0,0,0.222729791500486,0.434165650090948,2.73803828225828e-25,53.0981668981863
83,190204,1,1,2,1,1,20,40,0,0,0.295939185446029,0.674171974289753,2.79443853384297e-55,105.70713121804
83,190204,1,1,2,2,1,20,40,0,0,0.233473005207361,0.613582410085597,2.1330278337303e-45,90.5085338066713
83,190204,1,1,2,3,1,20,40,0,0,0.27742810669283,0.61831410606513,4.24333470713146e-63,124.923803174703
83,190204,1,1,2,4,1,20,40,0,0,0.0357940055617895,0.717603263661962,3.32226534141487e-72,139.899862465016
82,190204,1,1,1,1,1,0,20,0,1,-0.121840402872934,0.315769496900277,1.82733277842737e-11,24.0566463784275
82,190204,1,1,1,2,1,0,20,0,1,0.148827218464243,-0.0626111811649111,0.00810524765178088,4.79682497713105
82,190204,1,1,1,3,1,0,20,0,1,-0.115070679813305,0.310596421574731,3.33457342015345e-13,27.9764066041696
